x;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BASICA - FEMALE;GAM83_BASICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos
10; ;0,007490;0,000126;0,000350;0,000140;0,000390;0,000191;0,000483;0,000483;0,000420;0,000390;0,000156;0,000141;0,000424;0,000382;0,000140;0,000180;0,000120;0,000130;0,0000675;0,0001141;0,0000565;0,0000673;0,0001791;0,0002092;0,0001454;0,0001732;0,001420;0,001970;0,001210;0,001115;0,001110;0,001220;0,001210;0,000290;0,000360;0,000730;;0,000132;0,000390;0,000096;0,000107;0,000325;0,000293;0,000131;0,000197;0,000275;0,000262;0,000248;0,000244
11; ;0,007520;0,000133;0,000371;0,000148;0,000413;0,000208;0,000492;0,000492;0,000430;0,000400;0,000163;0,000147;0,000438;0,000394;0,000180;0,000210;0,000150;0,000150;0,000073;0,0001277;0,000061;0,0000738;0,0001980;0,0002326;0,0001685;0,0001862;0,001450;0,001910;0,001230;0,001130;0,001120;0,001245;0,001230;0,000290;0,000370;0,000770;;0,000143;0,000397;0,000104;0,000116;0,000331;0,000298;0,000138;0,000208;0,000283;0,000270;0,000265;0,000256
12; ;0,007540;0,000142;0,000388;0,000158;0,000431;0,000225;0,000502;0,000502;0,000441;0,000410;0,000172;0,000155;0,000450;0,000405;0,000220;0,000260;0,000180;0,000190;0,0000791;0,0001509;0,0000664;0,0000831;0,0002241;0,0002700;0,0001943;0,0002097;0,001480;0,001920;0,001260;0,001155;0,001140;0,001290;0,001260;0,000300;0,000390;0,000850;;0,000155;0,000405;0,000113;0,000126;0,000338;0,000304;0,000148;0,000226;0,000314;0,000307;0,000307;0,000292
13; ;0,007570;0,000152;0,000402;0,000170;0,000446;0,000242;0,000512;0,000512;0,000452;0,000410;0,000183;0,000165;0,000461;0,000415;0,000260;0,000330;0,000220;0,000240;0,0000862;0,0001911;0,0000731;0,0000971;0,0002555;0,0003236;0,0002210;0,0002487;0,001550;0,001980;0,001320;0,001190;0,001170;0,001355;0,001320;0,000320;0,000440;0,000990;;0,000167;0,000413;0,000122;0,000135;0,000344;0,000310;0,000164;0,000255;0,000430;0,000416;0,000387;0,000350
14;0,000650;0,007600;0,000164;0,000414;0,000183;0,000458;0,000260;0,000524;0,000524;0,000463;0,000420;0,000195;0,000175;0,000472;0,000425;0,000300;0,000420;0,000250;0,000310;0,000095;0,0002557;0,0000825;0,0001182;0,0002898;0,0003935;0,0002465;0,0003058;0,001630;0,002070;0,001390;0,001235;0,001210;0,001425;0,001390;0,000350;0,000500;0,001150;0,000871;0,000180;0,000422;0,000131;0,000146;0,000352;0,000317;0,000189;0,000297;0,000557;0,000538;0,000524;0,000489
15;0,000620;0,007630;0,000177;0,000425;0,000197;0,000470;0,000278;0,000537;0,000537;0,000475;0,000430;0,000209;0,000188;0,000483;0,000435;0,000330;0,000530;0,000270;0,000390;0,000108;0,0003486;0,0000968;0,0001487;0,0003238;0,0004764;0,0002694;0,0003793;0,001720;0,002150;0,001460;0,001290;0,001260;0,001500;0,001460;0,000390;0,000560;0,001330;0,001006;0,000193;0,000433;0,000140;0,000156;0,000361;0,000325;0,000216;0,000345;0,000781;0,000765;0,000743;0,000719
16;0,000850;0,007660;0,000190;0,000437;0,000212;0,000481;0,000296;0,000551;0,000551;0,000488;0,000440;0,000224;0,000201;0,000495;0,000446;0,000350;0,000650;0,000290;0,000480;0,0001299;0,0004682;0,000122;0,0001909;0,0003546;0,0005678;0,0002888;0,0004648;0,001810;0,002190;0,001540;0,001355;0,001320;0,001580;0,001540;0,000440;0,000630;0,001510;0,001150;0,000205;0,000444;0,000149;0,000166;0,000370;0,000333;0,000242;0,000391;0,000963;0,000936;0,000917;0,000891
17;0,001120;0,007690;0,000204;0,000449;0,000228;0,000495;0,000315;0,000567;0,000567;0,000502;0,000460;0,000239;0,000214;0,000508;0,000458;0,000370;0,000780;0,000300;0,000570;0,0001653;0,0006352;0,0001428;0,0002796;0,0003804;0,0006615;0,0003041;0,0005570;0,001900;0,002250;0,001620;0,001425;0,001390;0,001655;0,001620;0,000500;0,000700;0,001670;0,001268;0,000218;0,000457;0,000159;0,000177;0,000381;0,000343;0,000262;0,000430;0,001133;0,001102;0,001080;0,001051
18;0,001320;0,007730;0,000219;0,000463;0,000244;0,000510;0,000334;0,000584;0,000584;0,000517;0,000470;0,000255;0,000229;0,000523;0,000472;0,000370;0,000900;0,000310;0,000660;0,0002244;0,0008963;0,0001708;0,0003740;0,0004003;0,0007516;0,0003156;0,0006462;0,001990;0,002300;0,001690;0,001500;0,001460;0,001715;0,001690;0,000560;0,000760;0,001780;0,001314;0,000231;0,000471;0,000168;0,000187;0,000392;0,000353;0,000273;0,000460;0,001278;0,001244;0,001220;0,001188
19;0,001350;0,007770;0,000234;0,000480;0,000260;0,000528;0,000354;0,000603;0,000603;0,000534;0,000490;0,000271;0,000244;0,000540;0,000488;0,000370;0,001010;0,000300;0,000740;0,0002806;0,0010702;0,0002035;0,0004909;0,0004142;0,0008329;0,0003235;0,0007266;0,002030;0,002370;0,001740;0,001580;0,001540;0,001765;0,001740;0,000630;0,000800;0,001860;0,001325;0,000245;0,000486;0,000179;0,000199;0,000405;0,000365;0,000280;0,000484;0,001403;0,001365;0,001341;0,001304
